id,title,year,venue,citation_count,source,doi,arxiv_id
8aa525ff-7c4b-487b-bd0b-075141135511,SciSpace Literature Review: Harnessing AI for Effortless Scientific Discovery,2024,European Conference on Information Retrieval,17,traverse_bwd,10.1007/978-3-031-56069-9_28,
96c9b103-b2ab-4c5a-a7bb-f84331c909d7,"Large language models, updates, and evaluation of automation tools for systematic reviews: a summary of significant discussions at the eighth meeting of the International Collaboration for the Automation of Systematic Reviews (ICASR)",2024,Systematic Reviews,17,traverse_fwd,10.1186/s13643-024-02666-2,
783a1d6a-ad47-4795-a0f1-547d54b5ff55,Assessing the Efficacy of ChatGPT Versus Human Researchers in Identifying Relevant Studies on mHealth Interventions for Improving Medication Adherence in Patients With Ischemic Stroke When Conducting Systematic Reviews: Comparative Analysis,2024,JMIR mHealth and uHealth,16,traverse_bwd,10.2196/51526,
4c05c4eb-6459-40fa-bb3f-0f844d1ba5b0,Automating biomedical literature review for rapid drug discovery: Leveraging GPT-4 to expedite pandemic response,2024,Int. J. Medical Informatics,15,traverse_bwd,10.1016/j.ijmedinf.2024.105500,
19393690-f78f-41be-a556-1d02126c6a1b,How good are large language models for automated data extraction from randomized trials?,2024,medRxiv,15,traverse_bwd,10.1101/2024.02.20.24303083,
f2cac431-7aa0-4d4a-910f-d3be2edae58e,Systematic review using a spiral approach with machine learning,2024,Systematic Reviews,15,traverse_fwd,10.1186/s13643-023-02421-z,
f820e131-3538-40b5-a5b9-46d246ee803c,A Critical Assessment of Large Language Models for Systematic Reviews: Utilizing ChatGPT for Complex Data Extraction,2024,Social Science Research Network,14,traverse_bwd,10.2139/ssrn.4797024,
19951fa9-12d0-4e1c-88d8-e5072c12b9a3,Cutting Through the Clutter: The Potential of LLMs for Efficient Filtration in Systematic Literature Reviews,2024,arXiv.org,13,traverse_bwd,10.2312/eurova.20251105,2407.10652
9a5e1f25-f350-488d-98d6-8f9fe085cf51,Using Chao’s Estimator as a Stopping Criterion for Technology-Assisted Review,2024,ACM Trans. Inf. Syst.,12,traverse_fwd,10.1145/3724116,2404.01176
9922f062-4789-40d3-9bcc-fbdec5c7f0ab,Computer-assisted screening in systematic evidence synthesis requires robust and well-evaluated stopping criteria,2024,Systematic Reviews,12,traverse_fwd,10.1186/s13643-024-02699-7,
c3220649-037c-4763-b487-5b56c2920a26,Instruct Large Language Models to Generate Scientific Literature Survey Step by Step,2024,Natural Language Processing and Chinese Computing,12,traverse_bwd,10.48550/arXiv.2408.07884,2408.07884
59ddda47-a61e-46b9-8688-84554a54df79,Automatic categorization of self-acknowledged limitations in randomized controlled trial publications,2024,Journal of Biomedical Informatics,10,traverse_bwd,10.1016/j.jbi.2024.104628,
19801592-fca4-4f4c-931a-7350da781c2b,Machine Learning–Based Approach for Identifying Research Gaps: COVID-19 as a Case Study,2024,JMIR Formative Research,9,traverse_bwd,10.2196/49411,
285fca42-6573-4967-9855-89438c3cb7f9,How good are my search strings? Reflections on using an existing review as a quasi-gold standard,2024,e-Informatica Software Engineering Journal,9,traverse_bwd,10.37190/e-inf220103,2402.11041
